Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Journey Status,Reason for Delay,Refund Request,Original Price,Purchase Year,Purchase Month,Purchase Day,Purchase DayOfWeek,Purchase IsWeekend,Journey Year,Journey Month,Journey Day,Journey DayOfWeek,Journey IsWeekend,Purchase Hour_sin,Purchase Hour_cos,Purchase Minute_sin,Purchase Minute_cos,Purchase Second_sin,Purchase Second_cos,Departure Hour_sin,Departure Hour_cos,Departure Minute_sin,Departure Minute_cos,Departure Second_sin,Departure Second_cos,Arrival Hour_sin,Arrival Hour_cos,Arrival Minute_sin,Arrival Minute_cos,Arrival Second_sin,Arrival Second_cos,Actual Arrival Hour_sin,Actual Arrival Hour_cos,Actual Arrival Minute_sin,Actual Arrival Minute_cos,Actual Arrival Second_sin,Actual Arrival Second_cos
1,2,0,1,0,0.6424266269867895,3,13,1,5,1,149.25,2024,4,6,5,1,2024,4,7,6,1,-1.231479767504984,0.29912574445887524,0.8690148304032662,0.9729487912824706,-1.0680515014933218,0.9369838747050119,-1.1534694200387883,-0.06029574169118465,0.02688803129924415,-1.2653593226830653,0.0,0.0,-1.0991686456365486,0.6622932297543496,-1.1934368573032332,0.08300803515296697,0.0,0.0,-1.1513703855666815,0.43758805648597854,1.5822504430422168,-0.4956315799485363,0.0,0.0
0,1,1,1,0,-0.401018318906703,0,16,0,1,1,44.78,2024,3,5,1,0,2024,3,6,2,0,1.2417502287054223,-0.5007352233043773,0.8690148304032662,0.9729487912824706,-1.4350593019961186,0.00017240746589934023,1.3947274064311626,0.3776895671342047,0.02688803129924415,-1.2653593226830653,0.0,0.0,1.4486548847255512,-0.17253340143489082,-1.0183843617482828,0.8696835591424096,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
1,2,0,1,0,0.6424266269867895,3,13,1,5,1,149.25,2024,2,11,6,1,2024,2,22,3,0,-1.231479767504984,0.29912574445887524,-0.07868069338843293,1.338044348862696,0.5749579079803117,-1.2788303050550853,-1.1534694200387883,-0.06029574169118465,0.02688803129924415,-1.2653593226830653,0.0,0.0,-1.0991686456365486,0.6622932297543496,-1.1934368573032332,0.08300803515296697,0.0,0.0,-1.1513703855666815,0.43758805648597854,1.3682738489206023,0.2201093997318628,0.0,0.0
1,1,0,1,1,-0.5798945953455874,4,0,1,7,0,13.43,2024,3,12,1,0,2024,3,12,1,0,-0.5687797873239766,-1.086274090698291,-0.7868350617476083,-1.3143358748169551,1.2312131622364317,0.7001937921824547,-1.0239803334287252,-0.4684330755250704,0.02688803129924334,1.5611576059076777,0.0,0.0,-1.0991686456365484,-0.17253340143489082,1.244729876753015,-0.7036674888364745,0.0,0.0,-1.3645618935462052,-0.23390064009471,-0.18183950651899342,0.9280085714604545,0.0,0.0
0,0,3,1,0,-0.7885835845242859,8,12,0,4,1,5.97,2024,3,16,5,1,2024,3,17,6,1,1.3741582447332068,-0.11491275932365089,-0.9111660815244635,1.0665799056930325,0.5749579079803117,-1.2788303050550853,1.3947274064311626,0.3776895671342047,1.4583556023732596,0.1478991416123067,0.0,0.0,1.493593625980605,0.2448799141597297,-1.1934368573032332,0.08300803515296697,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
0,1,1,1,0,-0.7289581590446578,4,0,0,8,1,11.94,2024,1,2,1,0,2024,1,3,2,0,-1.1863178590191468,-0.11491275932365089,1.3298693558793468,0.06521548486118807,-0.5873742976027436,-1.2788303050550853,-0.8179929434897428,-0.8189085495455056,0.02688803129924415,-1.2653593226830653,0.0,0.0,-0.9674149228231365,-0.5615006893798582,-1.0183843617482828,0.8696835591424096,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
0,1,3,1,0,-0.5202691698659593,9,1,1,1,1,32.84,2024,1,14,6,1,2024,1,15,0,0,-0.8432791068993308,-0.8320484841647867,-1.3725431064370137,0.4947760888763883,-1.2436295518588631,-0.699848977250656,-0.5495449504359262,-1.0878378393861041,1.4583556023732596,0.1478991416123067,0.0,0.0,-0.7578250169277796,-0.895514471800557,0.11317275750236673,-1.4903430128259167,0.0,0.0,-0.8984858704817383,-1.1835290617793515,-0.6645091980700301,-1.8033554216199246,0.0,0.0
1,1,2,1,0,0.19523593588957847,5,31,2,0,0,70.0,2024,3,4,0,0,2024,3,5,1,0,-1.1863178590191468,-0.11491275932365089,-0.07868069338843213,-1.5047682069582764,1.1497566333328302,-0.8227520849855937,-1.0239803334287252,-0.4684330755250704,0.02688803129924334,1.5611576059076777,0.0,0.0,-1.0991686456365484,-0.17253340143489082,-1.0183843617482828,0.8696835591424096,0.0,0.0,-1.3103402374876068,-0.5814887665870095,-1.398059046405804,0.2201093997318628,0.0,0.0
0,0,0,1,0,-0.7885835845242859,8,12,2,0,0,5.97,2024,3,20,2,0,2024,3,21,3,0,-1.1863178590191468,-0.11491275932365089,-0.9111660815244635,1.0665799056930325,-1.4038354771099704,-0.29091285194411737,-1.0239803334287252,-0.4684330755250704,1.4583556023732596,0.1478991416123067,0.0,0.0,-0.9674149228231365,-0.5615006893798582,-1.1934368573032332,0.08300803515296697,0.0,0.0,-1.151370385566681,-0.9053893366753984,-1.6120356405274185,-0.4956315799485369,0.0,0.0
1,1,2,0,2,0.3741122123284629,6,23,2,0,0,54.67,2024,4,2,1,0,2024,4,2,1,0,-1.231479767504984,0.29912574445887524,-0.22672526915015376,1.3302577365481092,1.0556351118708907,-0.936639059773212,-1.0239803334287254,1.223812209793479,1.4583556023732596,0.1478991416123067,0.0,0.0,-0.7578250169277803,1.3852743001200154,1.4197823723079652,0.0830080351529677,0.0,0.0,-0.8984858704817392,0.7157277815899312,1.5822504430422168,-0.4956315799485363,0.0,0.0
0,1,2,1,0,-0.6395200208252155,4,0,0,7,1,14.0,2024,2,9,4,0,2024,2,15,3,0,-0.5687797873239766,-1.086274090698291,-1.4640396861078155,0.212165053531557,-0.006208194811215896,1.4002151768990097,-0.23693064136260858,-1.2568938583708944,1.4583556023732596,0.1478991416123067,0.0,0.0,-0.4846821336735501,-1.1518122614088913,-0.5401320499004333,-1.2795539414676158,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
0,1,1,1,0,-0.6097073080854015,6,23,2,0,0,23.88,2024,1,9,1,0,2024,1,10,2,0,1.419320153219044,0.2991257444588757,-1.4872307426562128,0.0652154848611874,0.5749579079803119,1.2791751199868844,1.3505610904116612,0.815674875959594,1.4583556023732596,0.1478991416123067,0.0,0.0,1.493593625980605,0.2448799141597297,1.4197823723079652,0.0830080351529677,0.0,0.0,1.818004264541027,-0.23390064009470968,1.5822504430422168,-0.4956315799485363,0.0,0.0
1,1,2,1,1,3.653510613708011,3,13,1,7,0,151.0,2024,2,9,4,0,2024,2,9,4,0,1.419320153219044,0.2991257444588757,-0.9111660815244631,-1.2333037637886128,1.231213162236432,-0.6998489772506551,1.2210720038015985,-0.46843307552506924,0.02688803129924334,1.5611576059076777,0.0,0.0,0.8341683727625532,-1.151812261408891,1.4197823723079652,0.0830080351529677,0.0,0.0,1.0223627250192189,-1.3969531792806635,-1.6120356405274185,-0.4956315799485369,0.0,0.0
0,1,0,1,1,-0.7289581590446578,3,18,2,0,0,5.97,2024,3,14,3,0,2024,3,14,3,0,-1.1863178590191468,-0.11491275932365089,1.3298693558793468,0.06521548486118807,0.7082173587812355,1.2126450121796923,-1.1976357360582894,0.37768956713420426,0.02688803129924415,-1.2653593226830653,0.0,0.0,-1.0991686456365486,0.6622932297543496,0.11317275750236598,1.6563590831318513,0.0,0.0,-1.310340237487607,0.11368748639758963,-0.014892598742600844,0.935850379412262,0.0,0.0
1,1,2,0,2,0.3741122123284629,6,23,0,1,1,54.67,2024,4,21,6,1,2024,4,21,6,1,-1.231479767504984,0.29912574445887524,-1.4872307426562128,-0.23193934295676957,-1.4350593019961186,0.00017240746589934023,-1.0239803334287254,1.223812209793479,0.02688803129924334,1.5611576059076777,0.0,0.0,-0.7578250169277803,1.3852743001200154,0.11317275750236598,1.6563590831318513,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
0,1,2,1,0,-0.7587708717844719,0,3,0,6,1,6.0,2024,1,27,5,1,2024,1,28,6,1,-1.053909842991362,1.098986712222129,0.6294736749707428,-1.3143358748169551,1.2991122438051534,-0.5692762887358699,-1.1976357360582894,0.37768956713420426,-1.404579539774773,0.14789914161230602,0.0,0.0,-1.0991686456365486,0.6622932297543496,0.7664775649051655,1.4455700117735502,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
1,2,0,1,2,-0.5202691698659593,0,18,1,5,1,21.89,2024,3,14,3,0,2024,3,14,3,0,0.7566201730380369,-1.086274090698291,-1.4256703465301785,0.35587676673778923,0.43533107974037877,-1.3313473914953728,0.4340223117354817,-1.2568938583708942,1.4583556023732596,0.1478991416123067,0.0,0.0,0.17474311954450147,-1.3678812929194448,-0.5401320499004333,-1.2795539414676158,0.0,0.0,-0.18513318150845695,-1.5311171882716512,1.5040806986023127,-0.053279327364902006,0.0,0.0
1,2,3,1,2,1.4175571582219555,3,13,1,6,1,151.24,2024,1,29,0,0,2024,1,29,0,0,1.241750228705422,1.098986712222129,0.49738396774331656,-1.3818811776975912,0.7082173587812355,1.2126450121796923,1.0150846138626164,-0.8189085495455048,0.02688803129924415,-1.2653593226830653,0.0,0.0,0.51608674825327,-1.3129277873951768,-1.1934368573032332,0.08300803515296697,0.0,0.0,0.22672118549741105,-1.5768780332560859,-0.014892598742600844,0.935850379412262,0.0,0.0
0,0,0,0,1,0.31448678684883474,7,11,2,0,0,58.21,2024,1,22,0,0,2024,1,22,0,0,-0.5687797873239766,-1.086274090698291,-1.1312032023591008,0.8677445155727415,-1.2436295518588631,-0.699848977250656,-1.0239803334287252,-0.4684330755250704,1.4583556023732596,0.1478991416123067,0.0,0.0,-1.0991686456365484,-0.17253340143489082,1.4197823723079652,0.0830080351529677,0.0,0.0,-1.3103402374876068,-0.5814887665870095,1.5822504430422168,-0.4956315799485363,0.0,0.0
0,0,2,1,0,0.19523593588957847,5,31,0,8,1,70.0,2024,3,11,0,0,2024,3,12,1,0,-0.8432791068993316,1.430299973082537,-1.4872307426562128,-0.23193934295676957,-0.44774746936281073,1.331692206427172,-1.0239803334287254,1.223812209793479,0.02688803129924334,1.5611576059076777,0.0,0.0,-0.7578250169277803,1.3852743001200154,-1.0183843617482828,0.8696835591424096,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
1,2,0,0,0,-0.6395200208252155,3,18,1,5,1,20.9,2024,3,17,6,1,2024,3,18,0,0,0.09392019285703017,-1.300596191067631,0.4973839677433167,1.215157319602011,0.7082173587812355,1.2126450121796923,0.4340223117354817,-1.2568938583708942,1.4583556023732596,0.1478991416123067,0.0,0.0,0.51608674825327,-1.3129277873951768,-1.1934368573032332,0.08300803515296697,0.0,0.0,0.22672118549741105,-1.5768780332560859,1.3682738489206026,-1.2113725596289355,0.0,0.0
1,1,2,1,2,0.7318647652062318,5,31,0,6,1,70.67,2024,1,22,0,0,2024,1,22,0,0,0.09392019285703017,-1.300596191067631,-1.4949894301067848,-0.08336192904779045,0.9498798129359445,-1.0402621320853565,-0.5495449504359262,-1.0878378393861041,1.4583556023732596,0.1478991416123067,0.0,0.0,-0.9674149228231365,-0.5615006893798582,0.7664775649051655,1.4455700117735502,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
1,1,2,1,0,-0.6395200208252155,4,0,2,0,0,14.0,2024,3,6,2,0,2024,3,7,3,0,1.3741582447332068,-0.11491275932365089,0.8690148304032664,-1.1396726493780507,1.3527099614925309,0.43280941607249684,1.3505610904116612,0.815674875959594,-1.404579539774773,0.14789914161230602,0.0,0.0,1.4486548847255512,-0.17253340143489082,0.7664775649051655,1.4455700117735502,0.0,0.0,1.7637826084824284,-0.5814887665870095,0.7836789221498079,0.7440681619170384,0.0,0.0
1,1,2,1,0,-0.6991454463048438,0,25,2,0,0,10.0,2024,2,9,4,0,2024,2,12,0,0,-1.053909842991362,1.098986712222129,-0.5163441623161165,-1.4351996319573983,0.29086665481042473,1.3696208833116088,-1.1534694200387883,-0.06029574169118465,-1.404579539774773,0.14789914161230602,0.0,0.0,-1.1441073868916025,0.24487991415972932,1.4197823723079652,0.0830080351529677,0.0,0.0,-1.3645618935462052,-0.23390064009471,1.5822504430422168,-0.4956315799485363,0.0,0.0
0,1,2,1,0,-0.7587708717844719,3,18,0,1,1,6.0,2024,3,24,6,1,2024,3,25,0,0,-1.1863178590191468,-0.11491275932365089,-1.4640396861078155,0.212165053531557,0.5749579079803119,1.2791751199868844,-1.0239803334287252,-0.4684330755250704,1.4583556023732596,0.1478991416123067,0.0,0.0,-0.9674149228231365,-0.5615006893798582,-1.1934368573032332,0.08300803515296697,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
0,0,0,1,0,-0.6991454463048438,7,0,2,0,0,14.93,2024,1,22,0,0,2024,1,23,1,0,-0.5687797873239776,1.6845255796160419,-0.6547453545201826,-1.3818811776975912,1.422642912373687,0.000172407465899994,-0.8179929434897435,1.5742876838139137,0.02688803129924334,1.5611576059076777,0.0,0.0,-0.4846821336735512,1.64157208972835,1.244729876753015,-0.7036674888364745,0.0,0.0,-0.5689203540243978,0.9291518990912436,1.3682738489206026,-1.2113725596289355,0.0,0.0
1,2,0,1,2,-0.5202691698659593,0,18,1,5,1,21.89,2024,1,17,2,0,2024,1,17,2,0,0.7566201730380369,-1.086274090698291,-1.1312032023591008,0.8677445155727415,1.0556351118708907,-0.936639059773212,0.4340223117354817,-1.2568938583708942,1.4583556023732596,0.1478991416123067,0.0,0.0,0.17474311954450147,-1.3678812929194448,-0.5401320499004333,-1.2795539414676158,0.0,0.0,0.22672118549741105,-1.5768780332560859,-0.18183950651899342,0.9280085714604545,0.0,0.0
1,2,2,1,2,2.5206275295950764,3,13,1,4,1,150.67,2024,1,28,6,1,2024,1,28,6,1,-0.8432791068993308,-0.8320484841647867,0.6294736749707428,1.1476120167213748,-0.15556380528353894,1.3925455961191626,-0.8179929434897428,-0.8189085495455056,0.02688803129924415,-1.2653593226830653,0.0,0.0,-1.0991686456365484,-0.17253340143489082,-1.1934368573032332,0.08300803515296697,0.0,0.0,-1.3645618935462052,-0.23390064009471,1.547349035607911,-0.19800974540271413,0.0,0.0
0,1,2,1,1,0.19523593588957847,6,21,0,5,1,35.0,2024,3,7,3,0,2024,3,7,3,0,1.3741582447332068,-0.11491275932365089,0.49738396774331656,-1.3818811776975912,-1.2436295518588636,0.7001937921824547,1.3505610904116612,-0.06029574169118465,-1.404579539774773,0.14789914161230602,0.0,0.0,1.1073112560167828,-0.8955144718005562,1.4197823723079652,0.0830080351529677,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
1,1,2,1,1,3.653510613708011,3,13,1,2,0,151.0,2024,4,17,2,0,2024,4,17,2,0,1.419320153219044,0.2991257444588757,-0.7868350617476083,-1.3143358748169551,1.0556351118708902,0.9369838747050115,1.2210720038015985,-0.46843307552506924,0.02688803129924334,1.5611576059076777,0.0,0.0,0.8341683727625532,-1.151812261408891,1.4197823723079652,0.0830080351529677,0.0,0.0,0.638575552503279,-1.531117188271651,0.47865174361660456,0.8657886654605049,0.0,0.0
0,0,2,1,1,-0.6991454463048438,8,12,2,0,0,5.0,2024,1,10,2,0,2024,1,10,2,0,1.3741582447332068,-0.11491275932365089,1.329869355879347,-0.2319393429567683,0.5749579079803117,-1.2788303050550853,1.2210720038015985,-0.46843307552506924,-1.404579539774773,0.14789914161230602,0.0,0.0,1.1073112560167828,-0.8955144718005562,1.4197823723079652,0.0830080351529677,0.0,0.0,1.3519282414765608,-1.183529061779351,1.5822504430422168,-0.4956315799485363,0.0,0.0
1,1,2,1,2,-0.7289581590446578,8,12,2,0,0,5.33,2024,4,17,2,0,2024,4,17,2,0,1.0311194926133915,-0.832048484164786,-0.22672526915015376,1.3302577365481092,-1.3115286334275853,0.5696211036676687,0.4340223117354817,-1.2568938583708942,1.4583556023732596,0.1478991416123067,0.0,0.0,0.51608674825327,-1.3129277873951768,-1.1934368573032332,0.08300803515296697,0.0,0.0,0.638575552503279,-1.531117188271651,-1.6120356405274185,-0.4956315799485369,0.0,0.0
0,1,2,1,0,-0.4904564571261452,8,19,2,0,0,24.0,2024,3,8,4,0,2024,3,9,5,1,1.0311194926133915,1.4302999730825374,-1.1312032023591008,-1.0344683736683218,-1.4038354771099704,0.291257666875916,0.7466366208087993,1.8432169736545132,0.02688803129924334,1.5611576059076777,0.0,0.0,1.1073112560167828,1.3852743001200158,0.11317275750236598,1.6563590831318513,0.0,0.0,1.3519282414765608,0.7157277815899316,-0.014892598742600844,0.935850379412262,0.0,0.0
1,0,2,1,2,-0.4904564571261452,7,0,2,0,0,16.0,2024,4,8,0,0,2024,4,8,0,0,0.4369589449768453,1.844338476865064,0.21578645078264425,1.3069832113583209,-1.4038354771099704,0.291257666875916,-0.23693064136260958,2.012272992639303,0.02688803129924415,-1.2653593226830653,0.0,0.0,0.17474311954450134,1.8576411212389041,-1.0183843617482828,0.8696835591424096,0.0,0.0,0.22672118549741085,1.1090767530666665,-1.398059046405804,0.2201093997318628,0.0,0.0
1,1,2,1,0,1.4175571582219555,3,13,1,7,0,152.0,2024,4,22,0,0,2024,4,23,1,0,1.0311194926133915,-0.832048484164786,-0.7868350617476083,-1.3143358748169551,1.0556351118708907,-0.936639059773212,1.2210720038015985,-0.46843307552506924,0.02688803129924334,1.5611576059076777,0.0,0.0,0.8341683727625532,-1.151812261408891,1.4197823723079652,0.0830080351529677,0.0,0.0,0.638575552503279,-1.531117188271651,1.0538046932487055,0.5681668309146823,0.0,0.0
1,0,0,1,0,-0.3712056061668889,11,8,2,0,0,47.76,2024,2,18,6,1,2024,2,23,4,0,0.09392019285703017,-1.300596191067631,-0.37314783755950975,-1.4737070694539014,1.4148155165053695,0.14651672666373225,0.4340223117354817,-1.2568938583708942,0.02688803129924334,1.5611576059076777,0.0,0.0,-0.166600509164267,-1.312927787395177,0.11317275750236673,-1.4903430128259167,0.0,0.0,-0.18513318150845695,-1.5311171882716512,-0.014892598742599938,-1.9271135393093353,0.0,0.0
0,1,3,1,0,-0.7885835845242859,8,12,2,0,0,5.97,2024,2,10,5,1,2024,2,29,3,0,1.3741582447332068,-0.11491275932365089,-0.516344162316117,1.2684757738618175,-1.3651263511149627,0.4328094160724965,1.3947274064311626,0.3776895671342047,1.4583556023732596,0.1478991416123067,0.0,0.0,1.493593625980605,0.2448799141597297,-1.1934368573032332,0.08300803515296697,0.0,0.0,1.818004264541027,-0.23390064009470968,-1.6120356405274185,-0.4956315799485369,0.0,0.0
1,1,1,1,2,-0.6097073080854015,7,0,2,0,0,15.92,2024,4,21,6,1,2024,4,21,6,1,1.419320153219044,0.2991257444588757,1.30667829933095,-0.3788889116271373,1.3914190874875387,0.2912576668759157,1.3505610904116612,-0.06029574169118465,-1.404579539774773,0.14789914161230602,0.0,0.0,1.1073112560167828,-0.8955144718005562,0.7664775649051655,1.4455700117735502,0.0,0.0,1.3519282414765608,-1.183529061779351,0.7836789221498079,0.7440681619170384,0.0,0.0
1,1,2,1,0,-0.6097073080854015,7,0,0,5,1,16.0,2024,1,22,0,0,2024,1,23,1,0,-1.231479767504984,0.29912574445887524,-1.4872307426562128,-0.23193934295676957,0.29086665481042473,-1.3692760683798098,-1.1534694200387883,-0.06029574169118465,0.02688803129924334,1.5611576059076777,0.0,0.0,-1.1441073868916025,0.24487991415972932,1.244729876753015,-0.7036674888364745,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
1,2,0,0,0,-0.2817674679474467,0,18,1,5,1,56.72,2024,3,9,5,1,2024,3,10,6,1,0.4369589449768457,-1.2460869879473127,-1.2244985306752927,0.7521197186239298,1.3914190874875387,0.2912576668759157,0.4340223117354817,-1.2568938583708942,1.4583556023732596,0.1478991416123067,0.0,0.0,0.17474311954450147,-1.3678812929194448,-0.5401320499004333,-1.2795539414676158,0.0,0.0,-0.18513318150845695,-1.5311171882716512,1.2772232645090136,0.34577240468647413,0.0,0.0
0,1,2,1,0,-0.46064374438633116,6,23,2,0,0,26.0,2024,1,9,1,0,2024,1,10,2,0,-1.053909842991362,1.098986712222129,0.06936388237328772,-1.4969815946436895,-0.4477474693628102,-1.331347391495373,-1.1976357360582894,0.37768956713420426,-1.404579539774773,0.14789914161230602,0.0,0.0,-1.0991686456365486,0.6622932297543496,-1.1934368573032332,0.08300803515296697,0.0,0.0,-1.310340237487607,0.11368748639758963,-1.6120356405274185,-0.4956315799485369,0.0,0.0
0,1,2,1,1,-0.10289119150856225,6,23,0,6,1,25.0,2024,3,29,4,0,2024,3,29,4,0,1.3741582447332068,-0.11491275932365089,0.49738396774331656,-1.3818811776975912,0.29086665481042473,1.3696208833116088,1.3505610904116612,-0.06029574169118465,-1.404579539774773,0.14789914161230602,0.0,0.0,1.3169011619121396,-0.5615006893798572,-1.1934368573032332,0.08300803515296697,0.0,0.0,0.22672118549741085,1.1090767530666665,-0.014892598742600844,0.935850379412262,0.0,0.0
0,1,2,1,0,0.19523593588957847,5,31,2,0,0,70.0,2024,2,11,6,1,2024,2,12,0,0,1.0311194926133915,-0.832048484164786,1.2683089597533124,0.3558767667377895,0.29086665481042473,-1.3692760683798098,1.3505610904116612,-0.06029574169118465,0.02688803129924415,-1.2653593226830653,0.0,0.0,1.1073112560167828,-0.8955144718005562,1.244729876753015,-0.7036674888364745,0.0,0.0,1.3519282414765608,-1.183529061779351,1.3682738489206026,-1.2113725596289355,0.0,0.0
